0,10,1,Near
0,7,1714.7,Near
0,18,1809.98,Near
1,0,1,Near
1,13,2057.12,Near
1,18,2113.17,Near
2,18,1,Near
2,9,1571.17,Near
2,11,1712.76,Near
3,11,1,Near
3,17,1518.62,Near
3,19,1712.97,Near
4,19,1,Near
4,8,1673.69,Near
4,17,1695.31,Near
5,17,1,Near
5,16,1629.72,Near
5,13,1693.24,Near
6,8,1,Near
6,14,1017.85,Near
6,19,1781.14,Near
7,0,1,Near
7,10,1831.9,Near
7,17,1960.25,Near
8,14,1,Near
8,6,821.565,Near
8,19,1549.61,Near
9,19,1,Near
9,2,1571.17,Near
9,11,1604.18,Near
10,0,1,Near
10,16,1784.92,Near
10,7,1831.9,Near
11,3,1,Near
11,14,1473.11,Near
11,8,1581.04,Near
12,10,1,Near
12,0,2156.55,Near
12,18,2208.54,Near
13,18,1,Near
13,5,1693.24,Near
13,9,1843.97,Near
14,8,1,Near
14,6,1017.85,Near
14,11,1473.11,Near
15,19,1,Near
15,9,1627.15,Near
15,4,1738.27,Near
16,5,1,Near
16,10,1784.92,Near
16,18,1855.2,Near
17,19,1,Near
17,3,1518.62,Near
17,5,1580.6,Near
18,14,1,Near
18,2,1478.24,Near
18,8,1554.35,Near
19,17,1,Near
19,9,1439.83,Near
19,15,1442.12,Near
0,11,1,Random
1,0,1,Random
2,19,1,Random
3,9,1,Random
4,16,1,Random
5,8,1,Random
6,16,1,Random
7,15,1,Random
8,7,1,Random
9,3,1,Random
10,1,1,Random
11,16,1,Random
12,14,1,Random
13,9,1,Random
14,19,1,Random
15,3,1,Random
16,14,1,Random
17,11,1,Random
18,1,1,Random
19,12,1,Random
